count: e9
data: 4000 58d20 stack: 66560 68570 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
4418 45b4	TaskFunction	0	1	62	55 
4f68 58f0	main	2	1	46	42 
58f0 5ae4	Proc_1	200002	99999	29	24 
5ae4 5b6c	Proc_2	1	100000	21	17 
5b6c 5bf0	Proc_3	200000	100000	8	5 
5bf0 5c64	Proc_4	4	100000	20	18 
5c64 5c98	Proc_5	2	100000	20	18 
5cc0 5dd8	Proc_6	100004	100000	26	22 
5dd8 5e1c	Proc_7	200003	300000	26	18 
5e1c 6004	Proc_8	8	100000	24	21 
6004 6080	Func_1	8	300000	22	18 
6080 61e0	Func_2	9	100000	28	23 
61e0 6224	Func_3	0	100000	4	3 
6228 626c	mymalloc	0	2	9	7 
6438 6480	KillTaskFunction	0	1	5	4 
6f50 700c	Clock_driver_support_at_tick	255	128	5	5 
70d4 711c	Clock_isr	128	128	11	9 
7608 7640	console_write	0	31	11	9 
8504 86a4	ofw_call	0	305	10	9 
8aac 8b34	ofw_write	0	305	11	10 
9710 976c	strlen	0	1	4	3 
976c 98b4	strcmp	49	100000	23	18 
18770 187ac	sun4v_console_poll_write	0	288	8	7 
188a8 188dc	ofw	18442	305	25	22 
1a38c 1a3fc	_TOD_Get_timeval	0	2	9	7 
1a3fc 1a454	gettimeofday	0	2	6	5 
1a454 1a488	_gettimeofday_r	0	2	5	4 
1a6f0 1a714	rtems_chain_get	0	3	7	5 
1a738 1a7a0	malloc_is_system_state_OK	0	2	6	6 
1a7c0 1a804	malloc_deferred_frees_process	0	2	5	5 
1aa0c 1aa30	_System_state_Get	0	2	3	3 
1aa30 1aa5c	_System_state_Is_up	0	2	3	2 
1aa5c 1aa90	_Protected_heap_Allocate	0	2	8	6 
1aa90 1ac50	malloc	0	2	25	23 
1baf4 1bbb4	newlib_free_buffers	3	3	9	5 
1bbb4 1bc8c	newlib_delete_hook	6	2	22	14 
1dc28 1de88	rtems_termios_puts	864	288	13	9 
1de88 1e1dc	oproc	554	277	22	18 
1e1dc 1e3d8	rtems_termios_write	68	34	37	27 
2029c 203e4	_times	0	2	11	10 
203e4 20408	times	0	2	6	5 
20d10 20d34	rtems_clock_get_ticks_since_boot	0	2	3	3 
20e8c 20eac	_Watchdog_Tickle_ticks	0	127	4	4 
20edc 20f00	_Thread_Is_context_switch_necessary	0	127	3	3 
20f00 20f70	rtems_clock_tick	0	127	11	11 
22cc0 22cf0	_Attributes_Is_counting_semaphore	0	17	4	3 
22d20 22d4c	_CORE_mutex_Is_locked	17	17	5	3 
22d4c 22d78	_CORE_mutex_Is_inherit_priority	17	17	5	3 
22d78 22da4	_CORE_mutex_Is_priority_ceiling	17	17	5	3 
22da4 230bc	_CORE_mutex_Seize_interrupt_trylock_body	85	17	28	18 
23214 23260	_Semaphore_Get_interrupt_disable	0	34	8	7 
23260 23558	rtems_semaphore_obtain	34	34	23	19 
23558 235ac	_Thread_Enable_dispatch	0	17	5	5 
235ac 235dc	_Attributes_Is_counting_semaphore	0	17	4	3 
235dc 23620	_Semaphore_Get	0	17	6	5 
23620 23744	rtems_semaphore_release	17	17	14	12 
23744 2377c	_Semaphore_Translate_core_mutex_return_code	0	17	5	4 
23dd4 23e28	_Thread_Enable_dispatch	0	2	3	3 
23e28 23e68	_RTEMS_tasks_Free	2	2	24	18 
23e68 23f5c	rtems_task_delete	0	2	34	28 
241d0 24224	_Thread_Enable_dispatch	0	2	5	5 
24224 242f4	rtems_task_start	0	2	13	12 
24b58 24b74	_Chain_Tail	0	69	8	4 
24b74 24bb0	_Chain_Is_tail	0	69	10	6 
24cc0 24d50	_API_extensions_Run_postswitch	0	23	13	13 
24fa0 24fcc	_CORE_mutex_Is_locked	4	4	6	2 
24fcc 24ff8	_CORE_mutex_Is_inherit_priority	4	4	6	2 
24ff8 25024	_CORE_mutex_Is_priority_ceiling	4	4	6	2 
25024 2533c	_CORE_mutex_Seize_interrupt_trylock_body	20	4	30	16 
2533c 25450	_API_Mutex_Lock	0	4	14	11 
25498 254c8	_Thread_Disable_dispatch	0	4	3	3 
254c8 2551c	_Thread_Enable_dispatch	0	4	4	4 
2551c 25564	_API_Mutex_Unlock	4	4	13	9 
25564 25580	_Chain_Tail	0	2	4	2 
25580 255dc	_Chain_Append_unprotected	3	2	10	6 
255dc 25624	_Chain_Append	0	2	9	7 
256bc 256d8	_Chain_Tail	0	4	5	4 
256d8 25714	_Chain_Is_empty	0	3	8	7 
25768 257dc	_Chain_Get	0	3	11	10 
25bcc 25c04	_Thread_Is_executing	0	17	5	4 
25c04 25c30	_CORE_mutex_Is_inherit_priority	21	21	9	3 
25c5c 25f28	_CORE_mutex_Surrender	84	21	31	18 
260b4 2617c	_TOD_Get	0	2	12	10 
263d0 263f0	_Watchdog_Tickle_seconds	0	1	4	4 
263f0 264c0	_TOD_Tickle_ticks	255	128	11	11 
264f0 26530	_Heap_Free_list_remove	2	2	6	3 
2658c 265dc	_Heap_Free_list_insert_after	2	2	6	3 
265dc 2663c	_Heap_Align_up	0	2	4	3 
26674 26698	_Heap_Block_at	0	8	7	4 
266bc 266d8	_Heap_Alloc_area_of_block	0	2	3	2 
26708 26728	_Heap_Block_size	8	12	13	6 
26728 26760	_Heap_Block_set_size	2	2	5	2 
26760 26790	_Heap_Is_prev_used	4	4	6	2 
26790 267dc	_Heap_Is_used	0	6	13	11 
267dc 2680c	_Heap_Is_free	0	2	5	4 
2684c 26878	_Heap_Max	0	2	3	2 
26c28 26e24	_Heap_Block_split	4	2	26	22 
26e24 26e60	_Heap_Block_allocate_from_begin	0	2	5	4 
26ff4 2717c	_Heap_Block_allocate	2	2	19	16 
27584 275a8	_Objects_Get_index	0	2	4	2 
275a8 275e4	_Objects_Set_local_object	2	2	6	3 
275e4 27634	_Objects_Invalidate_Id	2	2	10	6 
27634 27668	_Objects_Close	0	2	8	6 
27dcc 27f0c	_Objects_Free	0	2	8	6 
27f0c 27f34	_Objects_Get_API	0	4	6	2 
27f34 27f58	_Objects_Get_class	0	4	6	2 
27f58 27fc4	_Objects_Get_information_id	0	4	10	6 
28114 2821c	_Objects_Get_isr_disable	17	34	15	12 
284d8 28508	_Thread_Disable_dispatch	0	19	3	3 
2855c 2862c	_Objects_Get	19	19	18	12 
28924 28984	_Objects_Namespace_remove	2	2	8	4 
28bbc 28c34	_Protected_heap_Allocate_aligned_with_boundary	0	2	13	11 
2977c 297a0	_Objects_Get_index	0	2	4	2 
297a0 297dc	_Objects_Set_local_object	2	2	6	3 
297dc 2982c	_Objects_Invalidate_Id	2	2	10	6 
2982c 29858	_Watchdog_Is_active	2	2	6	2 
29858 29890	_Thread_Is_allocated_fp	0	2	5	3 
298ac 298dc	_Thread_Disable_dispatch	0	2	3	3 
298dc 2990c	_Thread_Unnest_dispatch	0	2	3	3 
2990c 29a68	_Thread_Close	6	2	38	28 
29d90 2a064	_Thread_Dispatch	4	25	15	15 
2a064 2a08c	_Objects_Get_API	0	2	3	2 
2a08c 2a0b0	_Objects_Get_class	0	2	3	2 
2a0b0 2a0fc	_Objects_Is_api_valid	0	2	4	3 
2a0fc 2a134	_Objects_Are_ids_equal	0	4	4	2 
2a134 2a164	_Thread_Disable_dispatch	0	2	3	3 
2a164 2a2fc	_Thread_Get	0	4	25	21 
2ab38 2ac34	_Thread_queue_Dequeue	23	23	21	11 
2ac4c 2ac68	_Chain_Tail	0	84	7	3 
2ac68 2aca4	_Chain_Is_empty	84	84	17	5 
2ad44 2b00c	_Thread_queue_Dequeue_priority	0	21	14	10 
2b920 2b958	_States_Is_waiting_on_thread_queue	0	2	4	2 
2b958 2b9cc	_Thread_queue_Extract_with_proxy	2	2	9	5 
2bf48 2bf60	_Chain_Head	0	1	3	2 
2bf60 2bf7c	_Chain_Tail	0	1	3	2 
2bf7c 2bfb0	_Chain_Has_only_one_node	4	2	6	2 
2bfb0 2bff8	_Chain_Initialize_empty	1	1	8	6 
2bff8 2c038	_Chain_Extract_unprotected	3	1	6	2 
2c038 2c058	_Priority_Bits_index	0	4	5	3 
2c058 2c0dc	_Priority_bit_map_Remove	2	1	7	4 
2c0dc 2c21c	_Priority_bit_map_Get_highest	0	2	12	12 
2c24c 2c278	_States_Is_ready	0	2	4	2 
2c278 2c2b0	_Thread_Is_executing	0	2	5	3 
2c2b0 2c2e8	_Thread_Is_heir	0	2	5	3 
2c2e8 2c33c	_Thread_Calculate_heir	2	2	8	6 
2c33c 2c4e0	_Thread_Set_state	4	2	28	22 
2c8f4 2c984	_Thread_Stack_Free	4	2	13	7 
2ca5c 2ca8c	_States_Is_dormant	0	2	3	2 
2ca8c 2cb48	_Thread_Start	4	2	16	11 
2cb48 2cb74	_States_Is_ready	127	127	3	2 
2cb74 2ccd8	_Thread_Tickle_timeslice	381	127	12	10 
2ccf4 2cd28	_Chain_Has_only_one_node	381	127	5	2 
2cdc4 2cdfc	_Thread_Is_heir	127	127	4	3 
2cdfc 2cf40	_Thread_Yield_processor	254	127	13	12 
2cf40 2d004	_Timespec_Add_to	779	261	26	10 
2d004 2d104	_Timespec_Divide	2	2	6	3 
2d104 2d1c0	_Timespec_Subtract	4	2	8	4 
2d3c8 2d3e4	_Chain_Tail	0	8	4	3 
2d420 2d45c	_Chain_Is_tail	0	8	6	5 
2d45c 2d4f0	_User_extensions_Thread_begin	4	2	14	11 
2d784 2d79c	_Chain_Head	0	8	4	2 
2d79c 2d7d8	_Chain_Is_head	0	8	6	4 
