count: e5
data: 4000 c4440 stack: 102290 10c2a0 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
4418 461c	FFTTaskFunction	0	1	10	8 
520c 52ac	test_switch	7	2	13	7 
52ac 52f4	KillTaskFunction	0	1	5	4 
58bc 5920	IsPowerOfTwo	0	1	5	4 
5920 59d0	NumberOfBitsNeeded	0	1	4	3 
59d0 5a50	ReverseBits	2	4096	19	16 
5bd0 5c2c	CheckPointer	0	3	6	5 
5c2c 62cc	fft_float	5	1	63	55 
62cc 68bc	fft_main	5	1	76	65 
6934 6a04	cos	0	8308	16	15 
6a04 6ad8	sin	0	8124	9	9 
6ad8 7014	__ieee754_rem_pio2	2	8286	32	28 
7014 7378	__kernel_cos	2	8173	20	19 
7378 7d8c	__kernel_rem_pio2	4	3714	40	35 
7d8c 7f5c	__kernel_sin	0	8259	6	6 
7f5c 7f8c	fabs	0	12672	2	2 
7f8c 8198	floor	0	3714	5	5 
8198 8378	scalbn	0	12999	8	8 
8854 8910	Clock_driver_support_at_tick	40	20	3	3 
89d8 8a20	Clock_isr	20	20	8	7 
8f0c 8f44	console_write	0	6	11	9 
9e08 9fa8	ofw_call	0	68	10	9 
a3b0 a438	ofw_write	0	68	11	10 
b1b8 b344	strncmp	6	2	10	6 
18770 187ac	sun4v_console_poll_write	0	65	8	7 
188a8 188dc	ofw	4169	68	28	22 
1a1d4 1a1f8	_System_state_Get	0	6	3	3 
1a1f8 1a224	_System_state_Is_up	0	6	3	2 
1a224 1a38c	free	0	6	25	23 
1a6f0 1a714	rtems_chain_get	0	6	5	4 
1a738 1a7a0	malloc_is_system_state_OK	0	12	7	7 
1a7c0 1a804	malloc_deferred_frees_process	0	6	5	5 
1aa0c 1aa30	_System_state_Get	0	6	3	3 
1aa30 1aa5c	_System_state_Is_up	0	6	3	2 
1aa5c 1aa90	_Protected_heap_Allocate	0	6	8	6 
1aa90 1ac50	malloc	0	6	30	28 
1baf4 1bbb4	newlib_free_buffers	3	3	9	5 
1bbb4 1bc8c	newlib_delete_hook	6	2	22	14 
1dc28 1de88	rtems_termios_puts	195	65	13	9 
1de88 1e1dc	oproc	120	60	25	21 
1e1dc 1e3d8	rtems_termios_write	12	6	34	25 
20cf8 20d18	_Watchdog_Tickle_ticks	0	20	4	4 
20d48 20d6c	_Thread_Is_context_switch_necessary	0	20	3	3 
20d6c 20ddc	rtems_clock_tick	0	20	11	11 
22008 22048	rtems_object_get_name	4	4	7	5 
22b2c 22b5c	_Attributes_Is_counting_semaphore	0	3	4	3 
