count: 139
data: 4000 2624e0 stack: 2a0620 2aa630 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
466c 4890	CRCTaskFunction	0	1	9	7 
5190 52b0	test_switch	323	2	327	7 
52b0 52f8	KillTaskFunction	0	1	5	4 
6328 649c	crc32file	7	1	52	41 
154dc 15598	Clock_driver_support_at_tick	49	27	5	5 
15660 156a8	Clock_isr	24	25	10	9 
15b94 15bcc	console_write	0	13	11	9 
16a90 16c30	ofw_call	0	53	10	9 
17038 170c0	ofw_write	0	53	11	10 
17c9c 17cf8	strlen	0	2	6	3 
17cf8 17e40	strcmp	2	7	17	13 
17e40 17fcc	strncmp	6	2	10	6 
28770 287ac	sun4v_console_poll_write	0	45	8	7 
288a8 288dc	ofw	2888	53	25	22 
29088 290b4	IMFS_node_type	1	1	5	2 
29ffc 2a148	rtems_filesystem_evaluate_relative_path	0	1	13	11 
2a148 2a23c	rtems_filesystem_evaluate_path	0	1	22	16 
2a380 2a3a8	rtems_filesystem_freenode	1	1	7	5 
2a3a8 2a3cc	_System_state_Get	0	1	3	3 
2a3cc 2a3f8	_System_state_Is_up	0	1	3	2 
2a3f8 2a560	free	0	1	20	18 
2a560 2a5d0	_TOD_Get_timeval	0	181	11	9 
2a5d0 2a628	gettimeofday	0	91	6	5 
2a8c4 2a8e8	rtems_chain_get	0	1	5	4 
2a90c 2a974	malloc_is_system_state_OK	0	2	7	7 
2a994 2a9d8	malloc_deferred_frees_process	0	1	5	5 
2abe0 2ac04	_System_state_Get	0	1	3	3 
2ac04 2ac30	_System_state_Is_up	0	1	3	2 
2ac30 2ac64	_Protected_heap_Allocate	0	1	8	6 
2ac64 2ae24	malloc	0	1	25	23 
2bcc8 2bd88	newlib_free_buffers	3	3	9	5 
2bd88 2be60	newlib_delete_hook	6	2	22	14 
2bf2c 2c3e8	open	1	1	27	23 
2c3e8 2c43c	_open_r	0	1	8	6 
2c47c 2c554	rtems_filesystem_get_start_loc	0	1	4	2 
2c554 2c5c8	rtems_filesystem_is_separator	0	11	3	2 
2ddfc 2e05c	rtems_termios_puts	135	45	13	9 
