count: 12f
data: 4000 ce870 stack: 10cc38 116c48 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
4418 4624	TaskFunction	0	1	10	8 
50bc 5100	mymalloc	0	1318	8	6 
522c 52cc	task_container_switch	7	2	13	7 
52cc 52fc	KillTaskFunction	0	1	3	3 
58c4 598c	print_path	20	89	25	10 
598c 5ae4	enqueue	20822	1318	1329	9 
5ae4 5bd0	dequeue	1318	1318	1329	9 
5bd0 5bf4	qcount	0	1338	3	3 
5bf4 6110	dijkstra	22	20	36	32 
6110 6298	dijkstra_main	0	1	14	11 
67b0 686c	Clock_driver_support_at_tick	37	25	5	5 
6934 697c	Clock_isr	18	19	10	9 
6e68 6ea0	console_write	0	446	25	7 
7d64 7f04	ofw_call	0	1371	19	10 
830c 8394	ofw_write	0	1370	20	11 
8f70 8fcc	strlen	0	3	7	5 
8fcc 9114	strcmp	2	7	17	13 
9114 92a0	strncmp	6	2	10	6 
18770 187ac	sun4v_console_poll_write	0	1087	15	6 
18834 1885c	bsp_out_char	0	7	6	6 
188a8 188dc	ofw	70038	1371	41	22 
19088 190b4	IMFS_node_type	1	1	5	2 
19ffc 1a148	rtems_filesystem_evaluate_relative_path	0	1	13	11 
1a148 1a23c	rtems_filesystem_evaluate_path	0	1	22	16 
1a3a8 1a3cc	_System_state_Get	0	1318	3	3 
1a3cc 1a3f8	_System_state_Is_up	0	1318	3	2 
1a3f8 1a560	free	0	1318	20	18 
1a560 1a5d0	_TOD_Get_timeval	0	4	11	9 
1a5d0 1a628	gettimeofday	0	2	6	5 
1a8c4 1a8e8	rtems_chain_get	0	1319	9	6 
1a90c 1a974	malloc_is_system_state_OK	0	2637	7	7 
1a994 1a9d8	malloc_deferred_frees_process	0	1319	8	7 
1abe0 1ac04	_System_state_Get	0	1319	3	3 
1ac04 1ac30	_System_state_Is_up	0	1319	4	2 
1ac30 1ac64	_Protected_heap_Allocate	0	1319	10	6 
1ac64 1ae24	malloc	1	1319	41	36 
1bcc8 1bd88	newlib_free_buffers	3	3	9	5 
1bd88 1be60	newlib_delete_hook	6	2	22	14 
1bf2c 1c3e8	open	1	1	27	23 
1c3e8 1c43c	_open_r	0	1	8	6 
1c43c 1c47c	printk	0	1	7	7 
1c47c 1c554	rtems_filesystem_get_start_loc	0	1	4	3 
1c554 1c5c8	rtems_filesystem_is_separator	0	11	3	2 
1ddfc 1e05c	rtems_termios_puts	3261	1087	20	8 
1e05c 1e3b0	oproc	2122	1061	38	18 
1e3b0 1e5ac	rtems_termios_write	1104	552	59	22 
20470 20aec	vprintk	0	1	10	10 
20ecc 20eec	_Watchdog_Tickle_ticks	0	18	4	4 
20f1c 20f40	_Thread_Is_context_switch_necessary	0	18	3	3 
20f40 20fb0	rtems_clock_tick	0	18	11	11 
22214 22254	rtems_object_get_name	4	4	7	5 
22254 22278	_Objects_Get_index	0	1	3	2 
22278 222e0	_Objects_Set_local_object	1	1	7	5 
222e0 22340	_Objects_Open	1	1	8	6 
22340 22370	_Thread_Disable_dispatch	0	1	3	3 
22370 223c4	_Thread_Enable_dispatch	0	1	5	5 
223c4 223f0	rtems_is_name_valid	0	1	3	2 
223f0 22420	_Attributes_Is_priority	0	2	4	3 
22420 22450	_Attributes_Is_binary_semaphore	0	2	4	3 
22450 22480	_Attributes_Is_counting_semaphore	0	2	4	3 
22480 224b0	_Attributes_Is_inherit_priority	0	3	5	4 
224b0 224e0	_Attributes_Is_priority_ceiling	0	1	3	2 
224e0 22508	_Semaphore_Allocate	0	1	4	4 
22534 229bc	rtems_semaphore_create	2	1	44	40 
22d64 22d94	_Attributes_Is_counting_semaphore	0	277	12	2 
22dc4 22df0	_CORE_mutex_Is_locked	277	277	14	2 
22df0 22e1c	_CORE_mutex_Is_inherit_priority	277	277	14	2 
22e1c 22e48	_CORE_mutex_Is_priority_ceiling	277	277	14	2 
22e48 23160	_CORE_mutex_Seize_interrupt_trylock_body	1385	277	43	16 
232b8 23304	_Semaphore_Get_interrupt_disable	0	554	16	6 
23304 235fc	rtems_semaphore_obtain	554	554	32	19 
235fc 23650	_Thread_Enable_dispatch	0	277	8	6 
23650 23680	_Attributes_Is_counting_semaphore	0	277	12	2 
23680 236c4	_Semaphore_Get	0	277	14	4 
236c4 237e8	rtems_semaphore_release	277	277	23	11 
237e8 2383c	_Semaphore_Translate_core_mutex_return_code	0	277	14	4 
23eb0 23f04	_Thread_Enable_dispatch	0	2	3	3 
23f04 23f44	_RTEMS_tasks_Free	2	2	24	18 
23f44 24058	rtems_task_delete	0	2	35	29 
242cc 24320	_Thread_Enable_dispatch	0	2	5	5 
