count: 184
data: 4000 2e64e0 stack: 344a20 346a30 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
144cc 1471c	CRCTaskFunction	0	1	10	8 
14b34 14d60	SusanCornersTaskFunction	0	1	10	8 
14d60 14f8c	SusanEdgesTaskFunction	0	1	10	8 
14f8c 15128	DhrystoneTaskFunction	0	1	41	36 
16558 166cc	crc32file	7	1	59	47 
16c60 16f00	getint	14	6	17	12 
16f00 17120	get_image	10	2	52	42 
17120 1729c	put_image	14	2	60	46 
17414 17544	setup_brightness_lut	2	2	18	14 
19430 1964c	edge_draw	115	1	130	16 
1964c 1ada8	susan_thin	209	1	236	28 
1ada8 1d9d4	susan_edges	203	1	230	28 
1e83c 1ea7c	corner_draw	18	1	29	11 
1ea7c 21808	susan_corners	104	1	140	37 
23e3c 246d0	susan_main	6	2	48	42 
250bc 25100	mymalloc	0	2	9	7 
2522c 252cc	test_switch	168	48	29	11 
252cc 252fc	KillTaskFunction	0	1	3	3 
258c4 25fa4	dhrystone_main	2	1	44	40 
25fa4 26198	Proc_1	1999	999	36	30 
26198 26220	Proc_2	0	1000	5	3 
26220 262a4	Proc_3	2000	1000	8	5 
262a4 26318	Proc_4	0	1000	4	4 
26318 2634c	Proc_5	0	1000	4	4 
26378 26490	Proc_6	1000	1000	10	8 
26490 264d4	Proc_7	2000	3000	10	4 
264d4 266bc	Proc_8	0	1000	8	7 
266bc 26738	Func_1	0	3000	6	4 
26738 26898	Func_2	0	1000	15	11 
26898 268dc	Func_3	0	1000	4	3 
26958 26b0c	exp	784	1026	16	14 
26c10 27094	__ieee754_exp	0	1026	7	7 
27320 2734c	finite	0	1026	2	2 
2741c 27424	matherr	0	784	2	2 
278a0 2795c	Clock_driver_support_at_tick	100	52	5	5 
27a24 27a6c	Clock_isr	50	51	10	9 
27f58 27f90	console_write	0	44	15	7 
28e54 28ff4	ofw_call	0	361	14	10 
293fc 29484	ofw_write	0	360	15	11 
2a060 2a0bc	strlen	0	25	35	28 
2a0bc 2a204	strcmp	70	1116	70	52 
2a204 2a390	strncmp	75	48	31	14 
2a390 2a490	memmove	20	16	15	9 
385f0 38614	_ISR_Dispatch	0	43	2	2 
38660 3867c	allow_nest_again	0	43	2	2 
38860 3889c	sun4v_console_poll_write	0	331	10	6 
38924 3894c	bsp_out_char	0	7	6	6 
38998 389cc	ofw	21649	361	37	28 
38e10 38ffc	IMFS_mknod	8	2	53	46 
39064 39090	IMFS_node_type	7	7	21	15 
39a58 39afc	calloc	0	47	28	28 
39fd8 3a124	rtems_filesystem_evaluate_relative_path	0	7	21	19 
3a124 3a218	rtems_filesystem_evaluate_path	0	7	35	29 
3a35c 3a384	rtems_filesystem_freenode	5	7	17	14 
3a384 3a3a8	_System_state_Get	0	7	3	3 
3a3a8 3a3d4	_System_state_Is_up	0	7	8	7 
3a3d4 3a53c	free	0	7	28	26 
3a53c 3a5ac	_TOD_Get_timeval	0	236	39	35 
3a5ac 3a604	gettimeofday	0	129	25	23 
3a604 3a638	_gettimeofday_r	0	2	5	4 
3a8a0 3a8c4	rtems_chain_get	0	66	28	25 
3a8e8 3a950	malloc_is_system_state_OK	0	57	7	7 
3a970 3a9b4	malloc_deferred_frees_process	0	65	7	7 
3abbc 3abe0	_System_state_Get	0	50	3	3 
3abe0 3ac0c	_System_state_Is_up	0	50	23	21 
3ac0c 3ac40	_Protected_heap_Allocate	0	50	38	34 
3ac40 3ae00	malloc	0	63	65	61 
3ae48 3af64	mknod	0	2	32	32 
3bca4 3bd64	newlib_free_buffers	12	12	21	5 
3bd64 3be3c	newlib_delete_hook	21	5	40	14 
3bf08 3c3c4	open	7	5	46	39 
3c3c4 3c418	_open_r	0	5	12	10 
3c418 3c458	printk	0	1	7	7 
3c458 3c530	rtems_filesystem_get_start_loc	0	9	13	11 
3c530 3c5a4	rtems_filesystem_is_separator	0	183	11	10 
3ddd8 3e038	rtems_termios_puts	993	331	15	8 
3e038 3e38c	oproc	602	301	27	17 
3e38c 3e588	rtems_termios_write	88	44	49	25 
4044c 40594	_times	0	2	11	10 
40594 405b8	times	0	2	6	5 
405e0 40c5c	vprintk	0	1	10	10 
40ec0 40ee4	rtems_clock_get_ticks_since_boot	0	2	3	3 
4103c 4105c	_Watchdog_Tickle_ticks	0	50	4	4 
4105c 4108c	_Thread_Is_dispatching_enabled	0	43	3	3 
4108c 410b0	_Thread_Is_context_switch_necessary	0	50	3	3 
410b0 41120	rtems_clock_tick	0	50	13	13 
42384 423c4	rtems_object_get_name	50	96	17	9 
423c4 423e8	_Objects_Get_index	0	5	7	6 
423e8 42450	_Objects_Set_local_object	5	5	11	9 
42450 424b0	_Objects_Open	5	5	16	10 
424b0 424e0	_Thread_Disable_dispatch	0	5	3	3 
424e0 42534	_Thread_Enable_dispatch	0	5	5	5 
42534 42560	rtems_is_name_valid	0	5	7	6 
42560 42590	_Attributes_Is_priority	0	10	8	7 
42590 425c0	_Attributes_Is_binary_semaphore	0	10	8	7 
425c0 425f0	_Attributes_Is_counting_semaphore	0	10	8	7 
425f0 42620	_Attributes_Is_inherit_priority	0	15	9	8 
42620 42650	_Attributes_Is_priority_ceiling	0	5	7	6 
42650 42678	_Semaphore_Allocate	0	5	4	4 
426a4 42b2c	rtems_semaphore_create	10	5	60	48 
42b2c 42b80	_Thread_Enable_dispatch	0	5	5	5 
42bb0 42be0	_Attributes_Is_counting_semaphore	0	5	7	6 
42be0 42c0c	_CORE_mutex_Is_locked	5	5	12	6 
42c0c 42c38	_Semaphore_Free	0	5	9	8 
42c38 42c7c	_Semaphore_Get	0	5	9	8 
42c7c 42dd8	rtems_semaphore_delete	5	5	32	25 
42ed4 42f04	_Attributes_Is_counting_semaphore	0	37	21	14 
42f34 42f60	_CORE_mutex_Is_locked	37	37	23	14 
42f60 42f8c	_CORE_mutex_Is_inherit_priority	37	37	23	14 
42f8c 42fb8	_CORE_mutex_Is_priority_ceiling	37	37	23	14 
42fb8 432d0	_CORE_mutex_Seize_interrupt_trylock_body	185	37	70	40 
43428 43474	_Semaphore_Get_interrupt_disable	0	69	25	18 
43474 4376c	rtems_semaphore_obtain	74	69	44	31 
4376c 437c0	_Thread_Enable_dispatch	0	37	5	5 
437c0 437f0	_Attributes_Is_counting_semaphore	0	37	21	14 
437f0 43834	_Semaphore_Get	0	37	23	16 
43834 43958	rtems_semaphore_release	37	37	32	23 
43958 439ac	_Semaphore_Translate_core_mutex_return_code	0	37	23	16 
44020 44074	_Thread_Enable_dispatch	0	5	3	3 
44074 440b4	_RTEMS_tasks_Free	5	5	33	18 
440b4 441c8	rtems_task_delete	0	5	44	29 
4443c 44490	_Thread_Enable_dispatch	0	5	5	5 
44490 44560	rtems_task_start	0	5	16	15 
44e9c 44eb8	_Chain_Tail	3	471	72	51 
44eb8 44ef4	_Chain_Is_tail	3	471	67	48 
45004 45094	_API_extensions_Run_postswitch	1	157	13	13 
45310 4533c	_CORE_mutex_Is_locked	62	62	35	26 
4533c 45368	_CORE_mutex_Is_inherit_priority	62	62	35	26 
45368 45394	_CORE_mutex_Is_priority_ceiling	62	62	35	26 
45394 456ac	_CORE_mutex_Seize_interrupt_trylock_body	310	62	91	58 
456ac 457c0	_API_Mutex_Lock	0	62	44	36 
45808 45838	_Thread_Disable_dispatch	0	62	3	3 
45838 4588c	_Thread_Enable_dispatch	0	62	4	4 
4588c 458d4	_API_Mutex_Unlock	62	62	43	34 
458d4 458f0	_Chain_Tail	0	12	14	8 
458f0 4594c	_Chain_Append_unprotected	26	12	34	12 
4594c 45994	_Chain_Append	0	12	20	14 
45a14 45a2c	_Chain_Head	0	5	7	6 
45a2c 45a48	_Chain_Tail	0	103	30	27 
45a48 45a84	_Chain_Is_empty	0	100	34	31 
45a84 45ad8	_Chain_Get_first_unprotected	10	5	16	9 
45ad8 45b4c	_Chain_Get	0	92	38	35 
45b4c 45b88	_CORE_mutex_Flush	0	5	9	8 
45b88 45bb4	_CORE_mutex_Is_fifo	0	5	12	10 
45c0c 45dd0	_CORE_mutex_Initialize	5	5	23	16 
45f3c 45f74	_Thread_Is_executing	0	37	22	15 
45f74 45fa0	_CORE_mutex_Is_inherit_priority	99	99	56	38 
45fcc 462d0	_CORE_mutex_Surrender	396	99	81	52 
4645c 46524	_TOD_Get	0	236	42	38 
46798 46868	_TOD_Tickle_ticks	101	52	10	10 
46898 468d8	_Heap_Free_list_remove	50	50	74	22 
46934 46984	_Heap_Free_list_insert_after	50	50	73	21 
469c4 46a24	_Heap_Align_up	0	50	22	20 
46a5c 46a80	_Heap_Block_at	0	200	59	53 
46aa4 46ac0	_Heap_Alloc_area_of_block	0	50	23	21 
46af0 46b10	_Heap_Block_size	200	300	137	78 
46b10 46b48	_Heap_Block_set_size	50	50	72	20 
46b48 46b78	_Heap_Is_prev_used	100	100	44	38 
