count: de
data: 4000 2d0f80 stack: 334350 336360 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
14f20 15038	DhrystoneTaskFunction	0	1	4	4 
15040 15178	SusanEdgesTaskFunction	0	1	4	4 
15180 152b8	SusanCornersTaskFunction	0	1	4	4 
152c0 153e8	CRCTaskFunction	0	1	4	4 
15680 1577c	crc32file	6	1	52	42 
15c40 15dcc	getint	14	6	12	7 
15de0 15ef8	get_image	8	2	43	35 
15f00 15fe4	put_image	12	2	51	39 
160a0 16148	setup_brightness_lut	2	2	18	14 
16f40 17010	edge_draw	114	1	116	2 
17020 17ad4	susan_thin	208	1	233	25 
17ae0 18dcc	susan_edges	203	1	232	30 
19580 1962c	corner_draw	21	1	32	11 
19640 1a710	susan_corners	109	1	193	86 
1b660 1bb74	susan_main	3	2	46	42 
1bfc0 1bfcc	mymalloc	0	2	2	2 
1c200 1c288	task_tlb_switch	34	10	22	12 
1c2e0 1c2f4	KillTaskFunction	0	1	1	1 
1c740 1c780	Proc_3	2000	1000	5	3 
1c780 1c870	Proc_1	2000	1000	10	8 
1c880 1cc1c	dhrystone_main	1	1	36	33 
1cca0 1cd14	Proc_6	1000	1000	4	3 
1cd20 1cd34	Proc_7	2000	3000	6	4 
1cd40 1cddc	Proc_8	0	1000	7	7 
1cde0 1ce14	Func_1	0	2000	3	3 
1ce20 1ce80	Func_2	0	1000	8	6 
1cea0 1d054	exp	784	1026	16	14 
1d158 1d5d4	__ieee754_exp	0	1026	7	7 
1d860 1d88c	finite	0	1026	2	2 
1d960 1d968	matherr	0	784	2	2 
1dca0 1dd10	Clock_isr	0	6	3	3 
1dfa0 1dfec	call_ofw_write	916	924	20	19 
1e000 1e01c	bsp_out_char	912	924	9	7 
1ebc0 1ecd0	ofw_call	2755	931	9	5 
1f500 1f548	ofw_write	1843	931	5	4 
1f9c0 1f9f4	strlen	0	14	12	11 
1fa00 1faa4	strcmp	67	1116	33	20 
1fac0 1fbb0	strncmp	14	20	15	8 
1fbc0 1fc28	memmove	20	16	13	7 
28240 28294	dump_istate	19	28	31	30 
282e0 28370	sparc64_dtlb_insert	619	919	3	3 
28380 283d0	sparc64_fast_data_access_mmu_miss_handler	38	21	10	9 
28620 286bc	_CPU_Memory_protection_Uninstall_MPE	1000	500	603	3 
286c0 287f4	_CPU_Memory_protection_Install_MPE	2402	902	809	9 
288c0 288fc	rtems_memory_protection_install_entry	900	900	407	7 
28900 28938	rtems_memory_protection_uninstall_entry	500	500	307	7 
28cd0 28cf4	_ISR_Dispatch	0	5	2	2 
28d40 28d5c	allow_nest_again	0	5	2	2 
28f14 28f60	ofw	64938	988	18	4 
29160 2929c	IMFS_mknod	4	2	20	17 
292e0 292ec	IMFS_node_type	7	7	10	5 
298e0 29930	calloc	0	62	20	20 
29c00 29cb4	rtems_filesystem_evaluate_relative_path	0	7	11	10 
29cc0 29d30	rtems_filesystem_evaluate_path	0	7	7	7 
29e40 29e5c	rtems_filesystem_freenode	5	7	10	8 
29e60 29f10	free	0	7	17	17 
29f20 29f90	gettimeofday	0	310	29	27 
29fa0 29fb4	_gettimeofday_r	0	2	2	2 
2a100 2a134	malloc_is_system_state_OK	0	57	5	5 
2a160 2a194	malloc_deferred_frees_process	0	80	7	7 
2a2e0 2a400	malloc	0	80	30	30 
2a420 2a4f4	mknod	0	2	16	16 
2a9a0 2a9f8	newlib_free_buffers	9	9	14	5 
2aba0 2ac1c	newlib_delete_hook	18	5	28	10 
2aca0 2af3c	open	7	5	37	32 
2af40 2af58	_open_r	0	5	2	2 
2af60 2af94	printk	152	85	13	9 
2b0e0 2b16c	rtems_filesystem_get_start_loc	0	9	20	17 
2b180 2b1b4	rtems_filesystem_is_separator	0	192	3	3 
2d320 2d3fc	_times	0	2	10	10 
2d400 2d40c	times	0	2	2	2 
2d440 2d8f0	vprintk	228	86	23	19 
2d9c0 2da44	rtems_memory_protection_install_domain	918	9	418	10 
2da60 2dae4	rtems_memory_protection_uninstall_domain	510	5	316	10 
2de60 2de74	rtems_clock_get_ticks_since_boot	0	2	3	3 
2df60 2dfcc	rtems_clock_tick	0	6	12	12 
2e680 2e68c	rtems_object_get_name	58	20	42	24 
2e6a0 2e8b8	rtems_semaphore_create	10	5	27	20 
2e8c0 2e998	rtems_semaphore_delete	10	5	26	16 
2e9a0 2ecec	rtems_semaphore_obtain	90	18	34	21 
2ed00 2edec	rtems_semaphore_release	15	15	16	15 
2ee00 2ee30	_Semaphore_Translate_core_mutex_return_code	0	30	5	5 
2efc0 2f074	rtems_task_delete	0	5	22	17 
2f120 2f1ac	rtems_task_start	0	5	15	15 
