count: 15f
data: 4000 2d05f0 stack: 323e58 32de68 
entryAddress endAddress	name	totalHeap	totalPushes	count	LIST
461c 4840	CRCTaskFunction	0	1	9	7 
4c2c 4e40	SusanCornersTaskFunction	0	1	10	8 
4e40 5054	SusanEdgesTaskFunction	0	1	10	8 
5320 53c0	test_switch	15	4	19	7 
53c0 5408	KillTaskFunction	0	1	5	4 
6a58 6bcc	crc32file	7	1	52	41 
7160 7400	getint	14	6	17	12 
7400 7620	get_image	10	2	52	42 
7620 779c	put_image	14	2	54	46 
7914 7a44	setup_brightness_lut	2	2	18	14 
9930 9b4c	edge_draw	114	1	117	3 
9b4c b2a8	susan_thin	208	1	223	15 
b2a8 ded4	susan_edges	203	1	223	21 
ed3c ef7c	corner_draw	18	1	29	11 
ef7c 11d08	susan_corners	104	1	133	30 
1433c 14bd0	susan_main	0	2	48	42 
155f8 157ac	exp	784	1026	16	14 
158b0 15d34	__ieee754_exp	0	1026	7	7 
15fc0 15fec	finite	0	1026	2	2 
160bc 160c4	matherr	0	784	2	2 
16564 16620	Clock_driver_support_at_tick	34	18	5	5 
166e8 16730	Clock_isr	17	18	10	9 
16c1c 16c54	console_write	0	21	15	9 
17b18 17cb8	ofw_call	0	207	12	9 
180c0 18148	ofw_write	0	207	13	10 
18d24 18d80	strlen	0	14	23	20 
18d80 18ec8	strcmp	55	104	42	31 
18ec8 19054	strncmp	12	4	14	6 
19054 19154	memmove	20	16	15	9 
28770 287ac	sun4v_console_poll_write	0	195	10	7 
288a8 288dc	ofw	12495	207	16	10 
28e34 29020	IMFS_mknod	8	2	53	46 
29088 290b4	IMFS_node_type	7	7	21	15 
29a7c 29b20	calloc	0	48	28	28 
29ffc 2a148	rtems_filesystem_evaluate_relative_path	0	7	21	19 
2a148 2a23c	rtems_filesystem_evaluate_path	0	7	35	29 
2a380 2a3a8	rtems_filesystem_freenode	5	7	16	14 
2a3a8 2a3cc	_System_state_Get	0	7	3	3 
2a3cc 2a3f8	_System_state_Is_up	0	7	8	7 
2a3f8 2a560	free	0	7	28	26 
2a560 2a5d0	_TOD_Get_timeval	0	233	37	35 
2a5d0 2a628	gettimeofday	0	127	23	22 
2a8c4 2a8e8	rtems_chain_get	0	64	26	25 
2a90c 2a974	malloc_is_system_state_OK	0	55	7	7 
2a994 2a9d8	malloc_deferred_frees_process	0	64	7	7 
2abe0 2ac04	_System_state_Get	0	48	3	3 
2ac04 2ac30	_System_state_Is_up	0	48	22	21 
2ac30 2ac64	_Protected_heap_Allocate	0	48	36	34 
2ac64 2ae24	malloc	0	62	62	60 
2ae6c 2af88	mknod	0	2	32	32 
2bcc8 2bd88	newlib_free_buffers	9	9	17	5 
2bd88 2be60	newlib_delete_hook	16	4	34	14 
2bf2c 2c3e8	open	7	5	45	39 
2c3e8 2c43c	_open_r	0	5	12	10 
2c47c 2c554	rtems_filesystem_get_start_loc	0	9	13	11 
2c554 2c5c8	rtems_filesystem_is_separator	0	183	11	10 
2ddfc 2e05c	rtems_termios_puts	585	195	15	9 
2e05c 2e3b0	oproc	370	185	29	21 
2e3b0 2e5ac	rtems_termios_write	48	24	50	29 
30ecc 30eec	_Watchdog_Tickle_ticks	0	17	4	4 
30f1c 30f40	_Thread_Is_context_switch_necessary	0	17	3	3 
30f40 30fb0	rtems_clock_tick	0	17	11	11 
32214 32254	rtems_object_get_name	8	8	9	5 
32254 32278	_Objects_Get_index	0	5	7	6 
32278 322e0	_Objects_Set_local_object	5	5	11	9 
322e0 32340	_Objects_Open	5	5	16	10 
32340 32370	_Thread_Disable_dispatch	0	5	3	3 
32370 323c4	_Thread_Enable_dispatch	0	5	5	5 
323c4 323f0	rtems_is_name_valid	0	5	7	6 
323f0 32420	_Attributes_Is_priority	0	10	8	7 
32420 32450	_Attributes_Is_binary_semaphore	0	10	8	7 
32450 32480	_Attributes_Is_counting_semaphore	0	10	8	7 
32480 324b0	_Attributes_Is_inherit_priority	0	15	9	8 
324b0 324e0	_Attributes_Is_priority_ceiling	0	5	7	6 
324e0 32508	_Semaphore_Allocate	0	5	4	4 
32534 329bc	rtems_semaphore_create	10	5	60	48 
329bc 32a10	_Thread_Enable_dispatch	0	5	5	5 
32a40 32a70	_Attributes_Is_counting_semaphore	0	5	7	6 
32a70 32a9c	_CORE_mutex_Is_locked	5	5	12	6 
32a9c 32ac8	_Semaphore_Free	0	5	9	8 
32ac8 32b0c	_Semaphore_Get	0	5	9	8 
32b0c 32c68	rtems_semaphore_delete	5	5	32	25 
32d64 32d94	_Attributes_Is_counting_semaphore	0	27	21	15 
32dc4 32df0	_CORE_mutex_Is_locked	27	27	23	15 
32df0 32e1c	_CORE_mutex_Is_inherit_priority	27	27	23	15 
32e1c 32e48	_CORE_mutex_Is_priority_ceiling	27	27	23	15 
32e48 33160	_CORE_mutex_Seize_interrupt_trylock_body	135	27	70	42 
332b8 33304	_Semaphore_Get_interrupt_disable	0	49	25	19 
33304 335fc	rtems_semaphore_obtain	54	49	44	32 
335fc 33650	_Thread_Enable_dispatch	0	27	5	5 
33650 33680	_Attributes_Is_counting_semaphore	0	27	21	15 
33680 336c4	_Semaphore_Get	0	27	23	17 
336c4 337e8	rtems_semaphore_release	27	27	32	24 
337e8 3383c	_Semaphore_Translate_core_mutex_return_code	0	27	23	17 
33eb0 33f04	_Thread_Enable_dispatch	0	4	3	3 
33f04 33f44	_RTEMS_tasks_Free	4	4	30	18 
33f44 34058	rtems_task_delete	0	4	41	29 
342cc 34320	_Thread_Enable_dispatch	0	4	5	5 
34320 343f0	rtems_task_start	0	4	15	14 
34d2c 34d48	_Chain_Tail	0	300	62	48 
34d48 34d84	_Chain_Is_tail	0	300	58	45 
34e94 34f24	_API_extensions_Run_postswitch	0	100	13	13 
351a0 351cc	_CORE_mutex_Is_locked	59	59	33	26 
351cc 351f8	_CORE_mutex_Is_inherit_priority	59	59	33	26 
351f8 35224	_CORE_mutex_Is_priority_ceiling	59	59	33	26 
35224 3553c	_CORE_mutex_Seize_interrupt_trylock_body	296	59	96	70 
3553c 35650	_API_Mutex_Lock	0	59	44	38 
35698 356c8	_Thread_Disable_dispatch	0	59	3	3 
356c8 3571c	_Thread_Enable_dispatch	0	59	4	4 
3571c 35764	_API_Mutex_Unlock	59	59	41	34 
35764 35780	_Chain_Tail	0	11	13	8 
35780 357dc	_Chain_Append_unprotected	24	11	32	12 
357dc 35824	_Chain_Append	0	11	19	14 
358a4 358bc	_Chain_Head	0	5	7	6 
358bc 358d8	_Chain_Tail	0	100	29	27 
358d8 35914	_Chain_Is_empty	0	97	33	31 
35914 35968	_Chain_Get_first_unprotected	10	5	16	9 
35968 359dc	_Chain_Get	0	90	37	35 
359dc 35a18	_CORE_mutex_Flush	0	5	9	8 
35a18 35a44	_CORE_mutex_Is_fifo	0	5	12	10 
35a9c 35c60	_CORE_mutex_Initialize	5	5	23	16 
35dcc 35e04	_Thread_Is_executing	0	27	22	16 
35e04 35e30	_CORE_mutex_Is_inherit_priority	86	86	54	39 
35e5c 36160	_CORE_mutex_Surrender	344	86	79	53 
362ec 363b4	_TOD_Get	0	233	40	38 
36628 366f8	_TOD_Tickle_ticks	34	20	10	10 
36728 36768	_Heap_Free_list_remove	49	48	84	35 
367c4 36814	_Heap_Free_list_insert_after	48	48	70	21 
36854 368b4	_Heap_Align_up	0	48	21	20 
368ec 36910	_Heap_Block_at	0	192	56	53 
36934 36950	_Heap_Alloc_area_of_block	0	48	22	21 
36980 369a0	_Heap_Block_size	192	287	131	78 
369a0 369d8	_Heap_Block_set_size	48	48	69	20 
369d8 36a08	_Heap_Is_prev_used	96	96	42	38 
36a08 36a54	_Heap_Is_used	0	144	49	47 
36a54 36a84	_Heap_Is_free	0	48	24	23 
36ac4 36af0	_Heap_Max	0	48	21	20 
36af0 36b1c	_Heap_Protection_block_initialize	0	96	44	42 
36b48 36bc4	_Heap_Protection_block_initialize_default	192	96	139	39 
36bc4 36c58	_Heap_Protection_block_check_default	190	95	176	27 
37224 374f0	_Heap_Block_split	144	48	96	45 
374f0 3752c	_Heap_Block_allocate_from_begin	0	48	23	22 
37738 37908	_Heap_Block_allocate	48	48	88	39 
37bbc 37d10	_Objects_Allocate	0	5	12	11 
37d10 37d34	_Objects_Get_index	0	9	11	6 
37d34 37d9c	_Objects_Set_local_object	9	9	18	11 
37d9c 37dec	_Objects_Invalidate_Id	9	9	24	10 
37dec 37e20	_Objects_Close	0	9	16	11 
38584 386c4	_Objects_Free	0	9	17	12 
386c4 386ec	_Objects_Get_API	12	20	16	4 
386ec 38710	_Objects_Get_class	8	16	14	2 
38710 3877c	_Objects_Get_information_id	12	20	20	8 
388cc 389d4	_Objects_Get_isr_disable	27	49	46	32 
389d4 38a28	_Thread_Enable_dispatch	0	4	4	4 
38a28 38c90	_Objects_Get_name_as_string	56	8	48	32 
38c90 38cc0	_Thread_Disable_dispatch	0	49	5	5 
38cc0 38d14	_Thread_Enable_dispatch	0	4	4	4 
38d14 38de4	_Objects_Get	76	44	72	44 
390dc 3913c	_Objects_Namespace_remove	9	9	23	9 
39374 393ec	_Protected_heap_Allocate_aligned_with_boundary	0	48	41	39 
393ec 3945c	_Protected_heap_Free	0	7	19	17 
39f68 39f8c	_Objects_Get_index	0	4	6	2 
39f8c 39ff4	_Objects_Set_local_object	4	4	10	5 
39ff4 3a044	_Objects_Invalidate_Id	4	4	14	6 
3a044 3a070	_Watchdog_Is_active	4	4	10	2 
3a070 3a0a8	_Thread_Is_allocated_fp	0	4	7	3 
3a0c4 3a0f4	_Thread_Disable_dispatch	0	4	3	3 
3a0f4 3a124	_Thread_Unnest_dispatch	0	4	3	3 
3a124 3a280	_Thread_Close	12	4	48	28 
3a5a8 3a87c	_Thread_Dispatch	8	104	17	17 
3a87c 3a8a4	_Objects_Get_API	0	4	3	2 
3a8a4 3a8c8	_Objects_Get_class	0	4	3	2 
